#OTU ID,W01X01HA,W01X01XA,W01X02HA,W01X02XA,W01X03HA,W01X03XA,W01X04HA,W01X04HX,W01X05HA,W01X05XA,W01X06HA,W01X06XA,W01X07HA,W01X07XA,W01X08HA,W01X08XA,W01X09HA,W01X09XA,W01X10HA,W01X10HB,W01X10XA,W03S06HA,W03S06HX,W03S07HA,W03S07XA,W03S10HA,W03S10HB,W03S10HC,W03S10XB,W03S10XC,W05N01HA,W05X03HA,W05X03HB,W05X03HC,W05X03XA,W05X03XB,W05X03XC,W05X04HA,W05X04HB,W05X04XA,W05X04XB,W05X05HA,W05X05HB,W05X05HC,W05X05XB,W05X05XC,W05X06HA,W05X06HB,W05X06HC,W05X06XA,W05X06XB,W05X06XC,W05X08HB,W05X08HC,W05X08XA,W05X08XB,W05X08XC,W05X09HA,W05X09HB,W05X09HC,W05X09XA,W05X09XB,W05X09XC,W06N01HA,W06N01HB,W06N01HC,W06N01HD,W06N01XA,W06N01XB,W06N01XC,W06N02HA,W06N02HB,W06N02HC,W06N02XA,W06N02XB,W06N02XC,W06N05XA,W06S08HA,W06S08XA,W06S10HA,W06S10HB,W06S10HC,W06S10XA,W06S10XB,W06S10XC,W07N03HA,W07N03XA,W07N04HA,W07N04HB,W07N04HD,W07N04XA,W07N04XB,W07N04XC,W07N04XD,W07N06HA,W07N08HA,W07N08XA,W08N03HA,W08N03XA,W08S09HA,W08S09XA,W09X01HA,W09X01XA,W09X02HA,W09X02XA,W09X03HA,W09X03XA,W09X04HA,W09X04XA,W09X05HA,W09X05XA,W09X06HA,W09X06XA,W09X07HA,W09X07XA,W09X08HA,W09X08XA,W09X09HA,W09X09XA,W09X10HA,W09X10XA,W10X01HA,W10X01XA,W10X02HA,W10X02XA,W10X03HA,W10X03XA,W10X04HA,W10X04XA,W10X05HA,W10X05XA,W10X06HA,W10X06XA,W10X07HA,W10X07XA,W10X08HA,W10X08XA,W10X09HA,W10X09XA,W10X10HA,W11N04HA,W11N04HB,W11N04HC,W11N04HD,W11N04XA,W11N04XB,W11N04XC,W11N04XD
OTU1,3150,17697,3326,9538,8980,20554,5149,12039,16748,27703,11132,12604,5240,12449,4455,12128,9736,10956,1788,9984,23711,779,28135,102,483,5831,3612,1690,1925,1729,11703,1171,1274,2947,2527,1499,1619,1178,832,143,1028,5391,18232,890,1684,16818,795,3891,984,3485,3948,757,1831,5495,8583,3823,3559,2786,1720,3236,1367,3107,1880,3443,1031,2312,6934,17075,3913,13441,0,680,929,7945,2225,3150,7345,6348,188,3800,2528,425,7962,2990,3278,0,3676,2381,7105,10058,24874,20887,9420,6210,1637,0,0,1668,16446,4627,7363,3103,5296,479,4403,2624,6652,1375,7180,894,1999,2480,2227,816,2810,2679,15288,1355,2370,525,4444,2536,5142,10152,9107,6410,12772,13757,22821,3745,6275,528,2925,799,5973,1271,10365,3627,20197,4581,1512,11580,2163,1241,8328,11000,872,3109
OTU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9535,12109,4519,17282,10652,11197,2229,5736,18372,15310,2319,8099,2278,8966,0,909,3301,4364,1477,1665,2000,8119,8577,9139,4086,11011,586,12852,9760,4793,3160,8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3,2482,2323,3482,1562,1526,271,2965,1991,8976,541,2344,1230,3097,1862,2622,3001,6130,3111,909,3371,1412,369,843,1418,114,1765,6078,5456,5732,492,2432,123,164,114,277,294,143,145,0,115,81,194,126,134,366,0,0,189,146,140,561,41,381,195,222,155,200,326,281,2217,147,133,56,1039,766,1473,3248,1212,330,1819,31,484,401,493,409,4876,366,893,176,945,990,155,2949,590,536,0,374,343,225,147,0,262,574,1024,168,0,96,42,49,736,614,2058,820,496,743,2177,277,864,1339,1063,236,2210,57,1190,202,1684,1376,862,284,2507,130,3910,2153,2774,3444,2067,1014,2681,7793,1170,620,881,1387,1435,820,836,172,1052,902,2810,1220,6135,4598,1327,1675,1822,1860,3249
OTU4,235,2077,2675,793,0,7785,243,7358,0,112,182,1576,0,0,0,0,0,0,0,0,106,198,642,0,0,2767,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,368,997,1282,8085,0,0,0,0,0,988,0,3968,88,1856,394,528,2364,4518,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,68,4315,1116,698,4109,0,11825,3695,6889,884,8226,0,4178,0,6717,0,2222,341,0,77,13028,0,0,5295,1800,1363,4175,0,0,1332,1941,0,0,0,8730,2570,4989,0,0,0,0,0,0,0,4492,4829,0,2870
OTU5,0,0,175,421,0,0,0,2225,0,0,0,0,0,0,753,164,0,180,0,0,96,0,0,0,0,2347,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,1825,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,79,262,0,0,0,0,782,0,0,0,0,381,394,0,5602,620,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,1878,11486,2160,645,1008,0,8146,1663,130,0,14090,0,2474,0,3331,567,3472,0,116,0,3729,718,8395,7140,3480,276,8250,0,684,228,4744,0,2772,116,0,135,607,10696,857,3242,0,0,0,0,839,0,0,173
OTU6,262,267,548,0,5019,0,780,0,2616,0,148,0,2527,0,1594,0,3842,0,3082,1825,0,164,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099,0,2871,131,5513,0,6214,0,4114,0,10945,215,4661,0,859,309,1206,0,6897,0,5163,0,18930,225,665,431,1624,0,0,0,3626,476,2946,270,2966,0,4911,0,1212,122,0,0,0,0,0,0,0,0,0
OTU7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,0,0,0,165,0,5181,0,47570,0,1690,0,0,0,456,0,295,0,0,0,9432,0,0,0,0,0,0,780,0,0,0,0,1172,0,0,0,929,0,0,0,0,0,0,0,0
OTU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4417,12118,3675,1646,0,9276,3687,19595,5206,2451,0,0,0,3108,0,0,0,0,0,5404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9,353,1006,1750,201,398,326,1345,918,1385,331,1186,636,514,176,571,1069,311,1008,161,682,245,51,358,155,46,512,521,295,385,379,1881,34,97,215,234,191,22,0,0,0,0,42,229,149,84,0,44,93,29,31,56,0,23,93,110,83,75,54,40,3097,129,75,79,958,220,3561,911,1773,373,1514,17,646,801,1180,464,1381,98,440,35,681,371,47,1449,529,428,0,1172,1207,1052,643,2698,1592,3030,1434,830,732,3450,75,516,504,1021,605,569,36,214,130,22,0,256,28,129,118,35,0,0,107,299,144,513,0,545,148,104,862,324,54,929,567,1987,206,761,0,147,186,116,156,490,89,295,965,223,1797,495,224,1377,984,116,687
OTU10,15435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8304,0,1513,0,0,0,0,0,0,431,2248,1113,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12529,0,280,0,0,0,16469,0,6517,149,1346,0,0,0,0,0,0,0,0
