,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,NA
OTU2,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU3,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma terrea
OTU4,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
OTU5,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU6,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA
OTU7,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
OTU8,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,NA,NA,NA
OTU9,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,NA
OTU10,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU11,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
OTU12,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe chelanensis
OTU13,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU14,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,NA
OTU15,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus eburneus
OTU17,Fungi,Mucoromycota,NA,NA,NA,Bifiguratus,Bifiguratus adelaidae
OTU18,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA
OTU19,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Trichosporiella,Trichosporiella cerebriformis
OTU20,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella fuscocinerea
OTU21,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
OTU22,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium robertsii
OTU23,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,NA
OTU24,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,NA
OTU25,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU26,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU27,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces decipiens
OTU28,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
