Site,Slope,Plot,Code,Elev,OM,Log_OM,N,Log_N,P_WB,Log_P_WB,P_SB,Log_P_SB,PH,Log_PH,K,Log_K,MG,Log_MG,CA,Log_CA,CA/MG,Log_CA/MG,CEC,Log_CEC,Prin1,Prin2,Light.umol,%HOR,%SEN,%ARA,%PHA
1,X,1,1X,473,5.6,1.723,141.8,4.954,0.3,-1.204,24.5,3.199,6.9,1.932,39.3,3.671,1620,7.39,137,4.92,0.085,-2.47,14.4,2.667,0.021696317,1.147047392,1685.9,0.8125,0,0.3125,0.1875
1,X,2,1X,473,6.9,1.932,168.2,5.125,0.1,-2.303,8.2,2.104,7.2,1.974,41.3,3.721,1555,7.349,118.4,4.774,0.076,-2.575,13.5,2.603,-0.532237952,1.365246776,1455.4,0.4375,0,0,0
1,X,3,1X,473,4.3,1.459,115.8,4.752,0.4,-0.916,6,1.792,7.2,1.974,33.4,3.509,1856,7.526,130,4.868,0.07,-2.659,16,2.773,-1.172578208,1.365314749,1845.2,0.5,0,0,0.0625
1,X,4,1X,473,3.4,1.224,97,4.575,0.4,-0.916,14.8,2.695,7.4,2.001,41.9,3.735,1796,7.493,114.2,4.738,0.064,-2.755,15.5,2.741,-1.805176124,1.439603672,833.3,0.5625,0,0.125,0
1,X,5,1X,473,4,1.386,110,4.7,0.8,-0.223,12.7,2.542,7.3,1.988,27.3,3.307,1968,7.585,152.1,5.025,0.077,-2.56,17.1,2.839,-1.138528131,1.490087762,1907.5,0.375,0,0.125,0.0625
1,X,6,1X,473,4,1.386,109,4.691,0.6,-0.511,4.5,1.504,6.9,1.932,34.8,3.55,1127,7.027,191,5.252,0.169,-1.775,10.5,2.351,-0.264463331,-0.247540065,1724.5,0.6875,0,0.1875,0.25
1,X,7,1X,473,3.1,1.131,91.4,4.515,0.5,-0.693,12.2,2.501,7.3,1.988,27.5,3.314,1968,7.585,113.9,4.735,0.058,-2.849,16.9,2.827,-1.841663192,1.507843235,1849.3,0.75,0.0625,0.1875,0
1,X,8,1X,473,5.6,1.723,142.8,4.961,0.6,-0.511,18.5,2.918,7.1,1.96,26.4,3.273,1279,7.154,116.5,4.758,0.091,-2.396,11.2,2.416,-0.188844635,0.881917581,939.4,0.8125,0,0,0.1875
1,X,9,1X,473,3.6,1.281,102.2,4.627,1,0,4,1.386,7.4,2.001,11,2.398,679,6.521,83,4.419,0.122,-2.102,6.1,1.808,-1.418815408,-0.451619981,1873,0.4375,0,0,0
1,X,10,1X,473,3.2,1.163,93,4.533,0.2,-1.609,4.7,1.548,7.1,1.96,36.1,3.586,1810,7.501,110.5,4.705,0.061,-2.796,15.6,2.747,-1.761150435,1.10574868,1312.5,0.75,0,0.0625,0.0625
2,N,1,2N,573,6.9,1.932,167,5.118,0.2,-1.609,6,1.792,6.8,1.917,51.2,3.936,674.7,6.514,258.9,5.556,0.384,-0.958,7.2,1.974,1.173711117,-1.169396468,1802.2,0.0625,0.125,0,0
2,N,2,2N,573,7.7,2.041,184,5.215,0.2,-1.609,4.1,1.411,6.5,1.872,52.6,3.963,328.2,5.794,198.9,5.293,0.606,-0.501,4.2,1.435,2.060154996,-2.486328991,1742,0.25,0,0.0625,0.0625
2,N,3,2N,573,13.8,2.625,305.8,5.723,0.3,-1.204,6.9,1.932,7.4,2.001,31.6,3.453,1145,7.043,135.7,4.91,0.119,-2.133,10.2,2.322,0.836139154,1.310164582,1725.3,0,0,0.125,0.3125
2,N,4,2N,573,6.7,1.902,164.8,5.105,0.2,-1.609,6.3,1.841,7.1,1.96,32.1,3.469,898.8,6.801,134.9,4.905,0.15,-1.897,8.2,2.104,0.049461976,0.008254692,1690.2,0.1875,0.0625,0.0625,0
2,N,5,2N,573,7.6,2.028,182.8,5.208,0.8,-0.223,6.6,1.887,6.8,1.917,57.1,4.045,987.6,6.895,221,5.398,0.224,-1.497,9.7,2.272,1.302654447,-0.136817966,1547.3,0.0625,0,0.25,0
2,N,6,2N,573,7.2,1.974,173,5.153,0.6,-0.511,6.2,1.825,6.9,1.932,34.4,3.538,890.8,6.792,135.7,4.91,0.152,-1.882,8.3,2.116,0.689947357,-0.023358184,869.8,0.0625,0,0.4375,0
2,N,7,2N,573,7.7,2.041,184.4,5.217,0.4,-0.916,8.7,2.163,6.9,1.932,48.9,3.89,1313,7.18,208.3,5.339,0.159,-1.841,12.2,2.501,0.871044487,0.550388356,609.4,0.125,0.0625,0.125,0
2,N,8,2N,573,6.7,1.902,163.4,5.096,0.2,-1.609,6.9,1.932,7.1,1.96,34.2,3.532,993.1,6.901,147.5,4.994,0.149,-1.907,9,2.197,0.058407073,0.151640048,1696.8,0.4375,0.1875,0.125,0.1875
2,N,9,2N,573,12.9,2.557,287.8,5.662,2,0.693,6.9,1.932,6.2,1.825,32,3.466,699,6.55,145,4.977,0.207,-1.573,7.5,2.015,3.387776696,-0.428958597,1834.1,0.0625,0,0.0625,0
2,N,10,2N,573,14.8,2.695,326.4,5.788,2.5,0.916,4.8,1.569,5.7,1.74,92.1,4.523,231.2,5.443,297.3,5.695,1.286,0.251,4.7,1.548,5.740161542,-2.961085157,1735.4,0.375,0,0.0625,0.1875
2,S,1,2S,581,3.9,1.361,108.2,4.684,0.1,-2.303,2.3,0.833,7.1,1.96,25.5,3.239,1024,6.931,156.3,5.052,0.153,-1.88,9.3,2.23,-1.122521383,-0.349465238,1831.7,0.5,0,0.5,0.3125
2,S,2,2S,581,4.5,1.504,120.2,4.789,0.2,-1.609,6.5,1.872,7.1,1.96,22.3,3.105,905.6,6.809,187.6,5.234,0.207,-1.574,8.5,2.14,-0.413302318,-0.510003033,1832.9,0.5,0,0,0
2,S,3,2S,581,4.2,1.435,113.6,4.733,0.3,-1.204,4.2,1.435,7,1.946,15.5,2.741,972.8,6.88,121.6,4.801,0.125,-2.079,8.7,2.163,-0.696676648,-0.188906439,1769.7,0.5625,0,0.375,0.1875
2,S,4,2S,581,4.2,1.435,113.2,4.729,0.9,-0.105,2.8,1.03,7.5,2.015,28.1,3.336,1693,7.434,169.4,5.132,0.1,-2.302,14.9,2.701,-1.425851362,1.120154095,650.8,0,0,0.125,0
2,S,5,2S,581,2.3,0.833,75.8,4.328,0.7,-0.357,4.8,1.569,7.3,1.988,13.8,2.625,958.9,6.866,86.4,4.459,0.09,-2.407,8.4,2.128,-2.176352171,-0.116682296,1839.8,0.5,0,0,0.125
2,S,6,2S,581,2.3,0.833,76.4,4.336,0.6,-0.511,4.3,1.459,7.3,1.988,19.7,2.981,1123,7.024,143.4,4.966,0.128,-2.058,10.1,2.313,-1.957959866,-0.163389471,641.9,0.3125,0,0.0625,0.0625
2,S,7,2S,581,13.4,2.595,298.8,5.7,0.6,-0.511,4.2,1.435,7,1.946,44.9,3.804,1463,7.288,412.2,6.022,0.282,-1.267,14.3,2.66,2.076703909,0.75360411,1853.3,0.375,0,0.3125,0.125
2,S,8,2S,581,3.8,1.335,105,4.654,0.9,-0.105,6.7,1.902,7.3,1.988,45.2,3.811,1301,7.171,205.2,5.324,0.158,-1.847,12,2.485,-0.882222253,0.297165833,102,0.375,0,0.125,0.0625
2,S,9,2S,581,2,0.693,69.2,4.237,0.1,-2.303,4.2,1.435,7.3,1.988,12.1,2.493,785.3,6.666,92.6,4.528,0.118,-2.138,7,1.946,-2.613912332,-0.804701849,350.8,0.4375,0.0625,0.1875,0.125
2,S,10,2S,581,3.4,1.224,98.4,4.589,0.1,-2.303,0.7,-0.357,7.3,1.988,20.3,3.011,1024,6.931,94.8,4.552,0.093,-2.38,9,2.197,-2.174622921,-0.031647669,717,0.1875,0.0625,0.25,0
3,N,1,3N,627,5,1.609,129.8,4.866,0.3,-1.204,2.4,0.875,6.9,1.932,20.5,3.02,724.1,6.585,147.1,4.991,0.203,-1.594,6.9,1.932,-0.037441376,-0.914414976,1893.5,0.6875,0,0.25,0.125
3,N,2,3N,627,5.6,1.723,141.2,4.95,0.1,-2.303,2.2,0.788,7.1,1.96,19.3,2.96,1312,7.179,193.3,5.264,0.147,-1.915,11.8,2.468,-0.522659524,0.274253934,1912.4,0.625,0,0,0.125
3,N,3,3N,627,5.4,1.686,138.8,4.933,0.2,-1.609,2.2,0.788,7,1.946,25.3,3.231,1015,6.923,172.8,5.152,0.17,-1.771,9.3,2.23,-0.222806577,-0.24087471,1777,0.4375,0.0625,0.1875,0.1875
3,N,4,3N,627,5.6,1.723,142.2,4.957,0.2,-1.609,2.7,0.993,6.9,1.932,25.8,3.25,1004,6.912,180.9,5.198,0.18,-1.714,9.4,2.241,0.063997328,-0.300253639,1117.9,0.375,0,0.1875,0.125
3,N,5,3N,627,13.9,2.632,308.2,5.731,0.2,-1.609,8.4,2.128,6.2,1.825,31.1,3.437,368.7,5.91,316.2,5.756,0.858,-0.154,5.4,1.686,4.033360336,-2.131052086,1889.4,0,0,0,0.375
3,N,6,3N,627,8.2,2.104,193.4,5.265,0.5,-0.693,2.9,1.065,6.3,1.841,35.1,3.558,322.8,5.777,279.4,5.633,0.866,-0.144,4.7,1.548,2.885401831,-2.718581695,433.6,0.0625,0.0625,0.3125,0
3,N,7,3N,627,18.9,2.939,407,6.009,0.5,-0.693,4.5,1.504,6.7,1.902,44.1,3.786,1308,7.176,283.1,5.646,0.216,-1.53,12.9,2.557,3.000136651,0.884698826,896.4,0.3125,0,0,0
3,N,8,3N,627,7.8,2.054,186.6,5.229,0.6,-0.511,2.8,1.03,6,1.792,51,3.932,183,5.209,225,5.416,1.23,0.207,3.3,1.194,3.574900599,-3.788232372,1308.5,0.1875,0.125,0.4375,0.1875
