Site/Project: Siskiyou,,,,,,,,,,,
Experiment: Assisted Colonization,,,,,,,,,,,
Date: July-Aug 2011,,,,,,,,,,,
Data Description:Soil moistur and light measurements in each plot,,,,,,,,,,,
Protocols: ,,,,,,,,,,,
CVS file & path: Oregon/Assited_relocation/Data/Soil_moisture_light.csv,,,,,,,,,,,
Names of Data Takers: Marko Spasojevic,,,,,,,,,,,
"Column Info: Site, Plot number, June Soil Moisture (%VWC), July Soil Moisture (%VWC), August Soil Moisture (%VWC), Light (umol)",,,,,,,,,,,
Abbreviations & definitions: Aug: August,,,,,,,,,,,
Site,Plot,June_SM_%VWC,July_SM_%VWC,Aug_SM_%VWC,AVG_SM_%VWC,Light.umol,,,,,
1,1,19.2,15.9,20.8,18.6,1685.9,,,,,
1,2,30.8,30.6,26.2,29.2,1455.4,,,,,
1,3,17.0,16.4,14.9,16.1,1845.2,,,,,
1,4,27.5,15.9,22.3,21.9,833.3,,,,,
1,5,17.4,15.4,14.4,15.7,1907.5,,,,,
1,6,19.5,22.8,20.3,20.9,1724.5,,,,,
1,7,17.0,18.4,11.5,15.6,1849.3,,,,,
1,8,22.1,21.3,23.3,22.2,939.4,,,,,
1,9,24.3,23.8,14.4,20.8,1873.0,,,,,
1,10,25.4,22.3,21.8,23.2,1312.5,,,,,
2N,1,14.2,14.9,12.0,13.7,1802.2,,,,,
2N,2,8.0,8.5,5.1,7.2,1742.0,,,,,
2N,3,21.0,21.8,23.3,22.0,1725.3,,,,,
2N,4,22.5,22.3,16.9,20.6,1690.2,,,,,
2N,5,22.1,9.0,15.4,15.5,1547.3,,,,,
2N,6,14.2,16.4,14.9,15.2,869.8,,,,,
2N,7,14.9,10.0,7.1,10.7,609.4,,,,,
2N,8,8.0,10.0,12.5,10.2,1696.8,,,,,
2N,9,8.7,6.6,8.5,7.9,1834.1,,,,,
2N,10,4.8,9.5,4.6,6.3,1735.4,,,,,
2S,1,7.3,6.6,8.5,7.5,1831.7,,,,,
2S,2,10.2,21.0,8.1,13.1,1832.9,,,,,
2S,3,11.3,8.5,10.0,9.9,1769.7,,,,,
2S,4,17.8,14.9,12.5,15.1,650.8,,,,,
2S,5,8.4,9.5,9.0,9.0,1839.8,,,,,
2S,6,7.6,9.0,8.5,8.4,641.9,,,,,
2S,7,9.8,13.9,9.5,11.1,1853.3,,,,,
2S,8,11.6,16.4,8.5,12.2,102.0,,,,,
2S,9,12.7,5.6,11.0,9.8,350.8,,,,,
2S,10,10.9,16.9,12.5,13.4,717.0,,,,,
3N,1,22.8,22.3,19.0,21.4,1893.5,,,,,
3N,2,15.2,22.8,13.5,17.2,1912.4,,,,,
3N,3,16.7,11.0,13.5,13.7,1777.0,,,,,
3N,4,22.1,16.4,16.0,18.2,1117.9,,,,,
3N,5,9.1,14.4,8.1,10.5,1889.4,,,,,
3N,6,16.7,16.9,7.1,13.6,433.6,,,,,
3N,7,6.6,8.1,4.6,6.4,896.4,,,,,
3N,8,8.0,8.8,8.1,8.3,1308.5,,,,,
3N,9,21.7,4.6,9.0,11.8,1118.1,,,,,
3N,10,15.2,8.1,12.0,11.8,656.8,,,,,
3S,1,6.9,11.5,8.1,8.8,2003.0,,,,,
3S,2,8.0,11.0,8.5,9.2,685.9,,,,,
3S,3,13.1,16.9,11.0,13.7,1964.7,,,,,
3S,4,14.2,12.0,9.0,11.7,1026.2,,,,,
3S,5,13.1,10.5,8.1,10.6,1961.9,,,,,
3S,6,11.3,13.0,8.5,10.9,1877.9,,,,,
3S,7,8.0,10.5,7.1,8.5,2009.0,,,,,
3S,8,11.3,12.0,8.5,10.6,2019.0,,,,,
3S,9,10.2,12.0,7.6,9.9,2015.0,,,,,
3S,10,11.3,14.9,10.0,12.1,2002.0,,,,,
4N,1,7.3,14.4,8.5,10.1,1927.8,,,,,
4N,2,12.3,21.3,9.5,14.4,1777.0,,,,,
4N,3,14.5,10.5,12.0,12.3,1816.5,,,,,
