,Site,Slope,Spp,Plot,Rep,Loc,Code,elev,Code2
1,1,X,H,1,A,Home,W01X01HA,473,1X
12,1,X,X,1,A,Home,W01X01XA,473,1X
2,1,X,H,2,A,Home,W01X02HA,473,1X
13,1,X,X,2,A,Home,W01X02XA,473,1X
3,1,X,H,3,A,Home,W01X03HA,473,1X
14,1,X,X,3,A,Home,W01X03XA,473,1X
4,1,X,H,4,A,Home,W01X04HA,473,1X
15,1,X,X,4,A,Home,W01X04HX,473,1X
5,1,X,H,5,A,Home,W01X05HA,473,1X
16,1,X,X,5,A,Home,W01X05XA,473,1X
6,1,X,H,6,A,Home,W01X06HA,473,1X
17,1,X,X,6,A,Home,W01X06XA,473,1X
7,1,X,H,7,A,Home,W01X07HA,473,1X
18,1,X,X,7,A,Home,W01X07XA,473,1X
8,1,X,H,8,A,Home,W01X08HA,473,1X
19,1,X,X,8,A,Home,W01X08XA,473,1X
9,1,X,H,9,A,Home,W01X09HA,473,1X
150,1,X,X,9,A,Home,W01X09XA,473,1X
10,1,X,H,10,A,Home,W01X10HA,473,1X
11,1,X,H,10,B,Home,W01X10HB,473,1X
20,1,X,X,10,A,Home,W01X10XA,473,1X
21,3,S,H,6,A,Away,W03S06HA,627,3S
26,3,S,X,6,A,Away,W03S06HX,627,3S
22,3,S,H,7,A,Away,W03S07HA,627,3S
27,3,S,X,7,A,Away,W03S07XA,627,3S
23,3,S,H,10,A,Away,W03S10HA,627,3S
24,3,S,H,10,B,Away,W03S10HB,627,3S
25,3,S,H,10,C,Away,W03S10HC,627,3S
28,3,S,X,10,B,Away,W03S10XB,627,3S
29,3,S,X,10,C,Away,W03S10XC,627,3S
30,5,X,H,1,A,Away,W05N01HA,1038,5X
31,5,X,H,3,A,Away,W05X03HA,1038,5X
32,5,X,H,3,B,Away,W05X03HB,1038,5X
33,5,X,H,3,C,Away,W05X03HC,1038,5X
47,5,X,X,3,A,Away,W05X03XA,1038,5X
48,5,X,X,3,B,Away,W05X03XB,1038,5X
49,5,X,X,3,C,Away,W05X03XC,1038,5X
34,5,X,H,4,A,Away,W05X04HA,1038,5X
35,5,X,H,4,B,Away,W05X04HB,1038,5X
50,5,X,X,4,A,Away,W05X04XA,1038,5X
51,5,X,X,4,B,Away,W05X04XB,1038,5X
36,5,X,H,5,A,Away,W05X05HA,1038,5X
37,5,X,H,5,B,Away,W05X05HB,1038,5X
38,5,X,H,5,C,Away,W05X05HC,1038,5X
152,5,X,X,5,A,Away,W05X05XA,1038,5X
52,5,X,X,5,B,Away,W05X05XB,1038,5X
153,5,X,X,5,C,Away,W05X05XC,1038,5X
39,5,X,H,6,A,Away,W05X06HA,1038,5X
40,5,X,H,6,B,Away,W05X06HB,1038,5X
41,5,X,H,6,C,Away,W05X06HC,1038,5X
53,5,X,X,6,A,Away,W05X06XA,1038,5X
54,5,X,X,6,B,Away,W05X06XB,1038,5X
55,5,X,X,6,C,Away,W05X06XC,1038,5X
42,5,X,H,8,B,Away,W05X08HB,1038,5X
43,5,X,H,8,C,Away,W05X08HC,1038,5X
56,5,X,X,8,A,Away,W05X08XA,1038,5X
57,5,X,X,8,B,Away,W05X08XB,1038,5X
58,5,X,X,8,C,Away,W05X08XC,1038,5X
44,5,X,H,9,A,Away,W05X09HA,1038,5X
45,5,X,H,9,B,Away,W05X09HB,1038,5X
46,5,X,H,9,C,Away,W05X09HC,1038,5X
59,5,X,X,9,A,Away,W05X09XA,1038,5X
60,5,X,X,9,B,Away,W05X09XB,1038,5X
61,5,X,X,9,C,Away,W05X09XC,1038,5X
62,6,N,H,1,A,Away,W06N01HA,484,6N
63,6,N,H,1,B,Away,W06N01HB,484,6N
64,6,N,H,1,C,Away,W06N01HC,484,6N
65,6,N,H,1,D,Away,W06N01HD,484,6N
69,6,N,X,1,A,Away,W06N01XA,484,6N
70,6,N,X,1,B,Away,W06N01XB,484,6N
71,6,N,X,1,C,Away,W06N01XC,484,6N
66,6,N,H,2,A,Away,W06N02HA,484,6N
67,6,N,H,2,B,Away,W06N02HB,484,6N
68,6,N,H,2,C,Away,W06N02HC,484,6N
72,6,N,X,2,A,Away,W06N02XA,484,6N
73,6,N,X,2,B,Away,W06N02XB,484,6N
74,6,N,X,2,C,Away,W06N02XC,484,6N
148,6,N,H,5,A,Away,W06N05HA,484,6N
75,6,N,X,5,A,Away,W06N05XA,484,6N
76,6,S,H,8,A,Away,W06S08HA,484,6S
80,6,S,X,8,A,Away,W06S08XA,484,6S
77,6,S,H,10,A,Away,W06S10HA,484,6S
78,6,S,H,10,B,Away,W06S10HB,484,6S
79,6,S,H,10,C,Away,W06S10HC,484,6S
81,6,S,X,10,A,Away,W06S10XA,484,6S
82,6,S,X,10,B,Away,W06S10XB,484,6S
83,6,S,X,10,C,Away,W06S10XC,484,6S
84,7,N,H,3,A,Away,W07N03HA,1303,7N
90,7,N,X,3,A,Away,W07N03XA,1303,7N
85,7,N,H,4,A,Away,W07N04HA,1303,7N
86,7,N,H,4,B,Away,W07N04HB,1303,7N
144,7,N,H,4,C,Away,W07N04HC,1303,7N
87,7,N,H,4,D,Away,W07N04HD,1303,7N
91,7,N,X,4,A,Away,W07N04XA,1303,7N
92,7,N,X,4,B,Away,W07N04XB,1303,7N
93,7,N,X,4,C,Away,W07N04XC,1303,7N
94,7,N,X,4,D,Away,W07N04XD,1303,7N
88,7,N,H,6,A,Away,W07N06HA,1303,7N
142,7,N,X,6,A,Away,W07N06XA,1303,7N
89,7,N,H,8,A,Away,W07N08HA,1303,7N
95,7,N,X,8,A,Away,W07N08XA,1303,7N
96,8,N,H,3,A,Away,W08N03HA,1106,8N
146,8,N,X,3,A,Away,W08N03XA,1106,8N
97,8,S,H,9,A,Away,W08S09HA,1106,8S
98,8,S,X,9,A,Away,W08S09XA,1106,8S
99,9,X,H,1,A,Home,W09X01HA,425,9X
108,9,X,X,1,A,Home,W09X01XA,425,9X
100,9,X,H,2,A,Home,W09X02HA,425,9X
109,9,X,X,2,A,Home,W09X02XA,425,9X
101,9,X,H,3,A,Home,W09X03HA,425,9X
110,9,X,X,3,A,Home,W09X03XA,425,9X
102,9,X,H,4,A,Home,W09X04HA,425,9X
111,9,X,X,4,A,Home,W09X04XA,425,9X
103,9,X,H,5,A,Home,W09X05HA,425,9X
112,9,X,X,5,A,Home,W09X05XA,425,9X
104,9,X,H,6,A,Home,W09X06HA,425,9X
113,9,X,X,6,A,Home,W09X06XA,425,9X
105,9,X,H,7,A,Home,W09X07HA,425,9X
114,9,X,X,7,A,Home,W09X07XA,425,9X
149,9,X,H,8,A,Home,W09X08HA,426,9X
115,9,X,X,8,A,Home,W09X08XA,425,9X
106,9,X,H,9,A,Home,W09X09HA,425,9X
151,9,X,X,5,A,Home,W09X09XA,425,9X
107,9,X,H,10,A,Home,W09X10HA,425,9X
116,9,X,X,10,A,Home,W09X10XA,425,9X
117,10,X,H,1,A,Home,W10X01HA,432,10X
127,10,X,X,1,A,Home,W10X01XA,432,10X
118,10,X,H,2,A,Home,W10X02HA,432,10X
128,10,X,X,2,A,Home,W10X02XA,432,10X
119,10,X,H,3,A,Home,W10X03HA,432,10X
145,10,X,X,3,A,Home,W10X03XA,433,10X
120,10,X,H,4,A,Home,W10X04HA,432,10X
129,10,X,X,4,A,Home,W10X04XA,432,10X
121,10,X,H,5,A,Home,W10X05HA,432,10X
130,10,X,X,5,A,Home,W10X05XA,432,10X
122,10,X,H,6,A,Home,W10X06HA,432,10X
131,10,X,X,6,A,Home,W10X06XA,432,10X
123,10,X,H,7,A,Home,W10X07HA,432,10X
132,10,X,X,7,A,Home,W10X07XA,432,10X
124,10,X,H,8,A,Home,W10X08HA,432,10X
133,10,X,X,8,A,Home,W10X08XA,432,10X
125,10,X,H,9,A,Home,W10X09HA,432,10X
147,10,X,X,9,A,Home,W10X09XA,433,10X
126,10,X,H,10,A,Home,W10X10HA,432,10X
143,10,X,X,10,A,Home,W10X10XA,433,10X
134,11,N,H,4,A,Away,W11N04HA,719,11N
135,11,N,H,4,B,Away,W11N04HB,719,11N
136,11,N,H,4,C,Away,W11N04HC,719,11N
137,11,N,H,4,D,Away,W11N04HD,719,11N
138,11,N,X,4,A,Away,W11N04XA,719,11N
139,11,N,X,4,B,Away,W11N04XB,719,11N
140,11,N,X,4,C,Away,W11N04XC,719,11N
141,11,N,X,4,D,Away,W11N04XD,719,11N
